year_month,time,pCO2_ave,pCO2_SE,PAR,WT,WT_SE,dpCO2T_obs,dpCO2T_obs_se,dpCO2T_model
2023_06_08,8.235094408,2076.497785,239.5623287,773.8401647,28.83555155,0.331801417,-197.9830898,80.20264009,-90.6693172
2023_06_08,8.735094408,1963.556677,262.0435365,953.4994024,28.99806633,0.329549645,-125.5755031,109.5184187,-106.6664928
2023_06_08,9.233372511,1932.515829,276.1936785,1033.41754,29.15993431,0.321826976,-34.32612054,91.42975184,-107.548038
2023_06_08,9.733372511,1815.348663,276.1821639,1180.299367,29.38151211,0.328442265,-123.874987,103.6669447,-114.4522612
2023_06_08,10.23015614,1734.23001,263.6207549,1215.083207,29.60235914,0.345991416,-116.1276189,88.24948344,-104.3684516
2023_06_08,10.73015614,1601.83906,249.8831927,1393.226706,29.790929,0.349208964,-136.2989776,112.3322547,-118.3218007
2023_06_08,11.23015614,1439.787992,215.6820011,1536.217486,29.99878681,0.369380368,-168.7557197,97.07734071,-125.5894962
2023_06_08,11.7345679,1306.637256,196.9323488,1558.575489,30.22741625,0.387627009,-116.6184465,77.51122652,-113.0753029
2023_06_08,12.23230994,1276.292686,195.9551178,1509.716772,30.49237257,0.382726682,-29.23175272,76.95651703,-87.2078184
2023_06_08,12.70549536,1111.688051,208.0576359,1395.922254,30.47115361,0.428487275,-85.68768432,73.57294842,-71.38789134
2023_06_08,13.23645606,1022.25361,203.94884,1374.951659,30.47573898,0.442100001,-32.31392558,89.71765794,-67.88121947
2023_06_08,13.73707562,1066.63959,184.9351724,1252.956986,30.48120616,0.42039605,40.00870243,61.62508578,-48.95751308
2023_06_08,14.23509441,1103.85111,168.6565442,1208.161833,30.5618034,0.419552345,40.71403159,94.75891224,-36.53908223
2023_06_08,14.73509441,1081.203936,180.9592059,1151.087791,30.56295386,0.413450928,-22.75965851,62.82673751,-27.78375579
2023_06_08,15.23509441,1095.198443,180.7643464,1010.193073,30.55737807,0.401770908,13.79997393,62.705286,-6.75583348
2023_06_08,15.73509441,1051.277481,146.4839999,844.2984405,30.52498422,0.401133083,-42.74193639,72.43056517,16.205539
2023_06_08,16.23509441,1086.26799,156.5843254,708.4037059,30.50712575,0.394849753,35.74814759,46.12731468,35.61858882
2023_06_08,16.73509441,1111.196092,167.3685636,539.1903072,30.44177272,0.395592379,27.51349639,49.42957361,56.79045466
2023_06_08,17.23509441,1120.857512,149.8577695,249.0821229,30.35733628,0.388558411,12.65322085,53.4126312,95.01012243
2023_06_08,17.73509441,1184.030289,135.5395721,133.7550039,30.24334469,0.389827004,67.82657323,39.58406827,104.6060296
2023_06_08,18.23509441,1222.448325,135.0776091,82.75081046,30.14337826,0.388501968,42.02433487,30.90070529,105.4010036
2023_06_08,18.73509441,1310.599443,135.9914947,34.56320131,30.05862836,0.387668221,91.29421916,32.26973861,106.8269273
2023_06_08,19.23509441,1355.208703,132.4008926,4.847145098,29.96843184,0.385256665,48.07514696,22.36992722,105.06609
2023_06_08,19.73509441,1369.732215,125.867557,0,29.8866369,0.375911327,17.45375941,28.70185916,100.1099283
2023_06_08,20.23509441,1443.303296,124.7326381,0,29.81561939,0.370470783,76.53144268,31.63745719,95.16710922
2023_06_08,20.73509441,1526.362769,132.3907815,0,29.72363904,0.365161315,87.0661118,37.64423565,88.7652772
2023_06_08,21.23509441,1633.476975,138.6850751,0,29.64332136,0.364969151,110.520167,29.29087087,83.17516665
2023_06_08,21.73509441,1689.047849,136.647559,0,29.54160512,0.359777273,60.3012772,26.68349527,76.09571641
2023_06_08,22.23509441,1751.737734,139.1850963,0,29.45533017,0.358581681,66.72093352,26.78130882,70.09097975
2023_06_08,22.73509441,1784.169035,134.2561461,0,29.3897864,0.354590577,36.04004526,28.16580165,65.52913333
2023_06_08,23.23509441,1855.80071,141.33821,0,29.31895273,0.353498747,75.21248678,26.28067925,60.59911024
2023_06_08,23.73509441,1926.434434,146.8573442,0,29.25381757,0.352858665,74.70679141,22.3964996,56.06570288
